,amazon_index,filename,title,author,category_id,category,meta
30,1455525928,1455525928.jpg,Crimson Shore (Agent Pendergast series),Douglas Preston,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455525942', 'Title': 'Crimson Shore', 'Authors': ['Douglas Preston', 'Lincoln Child'], 'Publisher': 'Grand Central Publishing', 'Year': '2016', 'Language': 'en'}"
31,1501129740,1501129740.jpg,End of Watch: A Novel (The Bill Hodges Trilogy),Stephen King,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501134135', 'Title': 'End Of Watch - A Novel', 'Authors': ['Stephen King'], 'Publisher': 'Pocket Books', 'Year': '2017', 'Language': 'en'}"
32,1501100076,1501100076.jpg,Finders Keepers: A Novel (The Bill Hodges Trilogy),Stephen King,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501100123', 'Title': 'Finders Keepers - A Novel', 'Authors': ['Stephen King'], 'Publisher': 'Simon and Schuster', 'Year': '2016', 'Language': 'en'}"
33,316284807,0316284807.jpg,Treasure Hunters: Secret of the Forbidden City,James Patterson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780316284806', 'Title': 'Treasure Hunters: Secret Of The Forbidden City', 'Authors': ['James Patterson', 'Chris Grabenstein'], 'Publisher': 'Little, Brown', 'Year': '2015', 'Language': 'en'}"
34,345543254,0345543254.jpg,Gray Mountain: A Novel,John Grisham,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780345543257', 'Title': 'Gray Mountain', 'Authors': ['John Grisham'], 'Publisher': 'Dell', 'Year': '2015', 'Language': 'en'}"
35,765356864,0765356864.jpg,One Second After,William R. Forstchen,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780765327253', 'Title': 'One Second After', 'Authors': ['William R. Forstchen'], 'Publisher': 'Forge Books', 'Year': '2009', 'Language': 'en'}"
36,399174672,0399174672.jpg,Foreign Affairs (A Stone Barrington Novel),Stuart Woods,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780451477224', 'Title': 'Foreign Affairs - A Stone Barrington Novel', 'Authors': ['Stuart Woods'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
37,1451645856,1451645856.jpg,Ordinary Grace,William Kent Krueger,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781451645859', 'Title': 'Ordinary Grace - A Novel', 'Authors': ['William Kent Krueger'], 'Publisher': 'Simon and Schuster', 'Year': '2014', 'Language': 'en'}"
38,1455559814,1455559814.jpg,Memory Man,David Baldacci,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455559800', 'Title': 'Memory Man', 'Authors': ['David Baldacci'], 'Publisher': 'Vision', 'Year': '2016', 'Language': 'en'}"
39,1501112317,1501112317.jpg,"In a Dark, Dark Wood",Ruth Ware,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501112331', 'Title': 'In A Dark, Dark Wood', 'Authors': ['Ruth Ware'], 'Publisher': 'Simon and Schuster', 'Year': '2016', 'Language': 'en'}"
40,425247449,0425247449.jpg,What Alice Forgot,Liane Moriarty,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780425247440', 'Title': 'What Alice Forgot', 'Authors': ['Liane Moriarty'], 'Publisher': 'Penguin', 'Year': '2012', 'Language': 'en'}"
41,039917088X,039917088X.jpg,Devoted in Death,J. D. Robb,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780425279144', 'Title': 'Devoted In Death', 'Authors': ['J. D. Robb'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
42,553418777,0553418777.jpg,The Little Paris Bookshop: A Novel,Nina George,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781594139659', 'Title': 'The Little Paris Bookshop', 'Authors': ['Nina George'], 'Publisher': 'Large Print Press', 'Year': '2016', 'Language': 'en'}"
43,160941411X,160941411X.jpg,The Shack,Wm. Paul Young,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780964729230', 'Title': 'The Shack', 'Authors': ['William P. Young'], 'Publisher': '', 'Year': '2007', 'Language': 'en'}"
44,1250022088,1250022088.jpg,The Nature of the Beast: A Chief Inspector Gamache Novel,Louise Penny,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250022103', 'Title': 'The Nature Of The Beast - A Chief Inspector Gamache Novel', 'Authors': ['Louise Penny'], 'Publisher': 'Minotaur Books', 'Year': '2016', 'Language': 'en'}"
45,039916149X,039916149X.jpg,The Promise: An Elvis Cole and Joe Pike Novel (An Elvis Cole Novel),Robert Crais,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780425272855', 'Title': 'The Promise', 'Authors': ['Robert Crais'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
46,399176764,0399176764.jpg,Tom Clancy Commander in Chief: A Jack Ryan Novel,Mark Greaney,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781101988817', 'Title': 'Tom Clancy Commander In Chief', 'Authors': ['Mark Greaney'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
47,1451681755,1451681755.jpg,The Light Between Oceans,M.L. Stedman,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501127977', 'Title': 'The Light Between Oceans - A Novel', 'Authors': ['M.L. Stedman'], 'Publisher': 'Simon and Schuster', 'Year': '2016', 'Language': 'en'}"
48,307341577,0307341577.jpg,Dark Places,Gillian Flynn,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780307341570', 'Title': 'Dark Places', 'Authors': ['Gillian Flynn'], 'Publisher': 'Broadway Books', 'Year': '2009', 'Language': 'en'}"
49,1616204516,1616204516.jpg,The Storied Life of A. J. Fikry: A Novel,Gabrielle Zevin,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781616203214', 'Title': 'The Storied Life Of A. J. Fikry - A Novel', 'Authors': ['Gabrielle Zevin'], 'Publisher': 'Algonquin Books', 'Year': '2014', 'Language': 'en'}"
50,307588378,0307588378.jpg,Gone Girl,Gillian Flynn,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780307588371', 'Title': 'Gone Girl - A Novel', 'Authors': ['Gillian Flynn'], 'Publisher': 'Ballantine Books', 'Year': '2014', 'Language': 'en'}"
51,1501108557,1501108557.jpg,All Dressed in White: An Under Suspicion Novel (Under Suspicion Novels),Mary Higgins Clark,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501108563', 'Title': 'All Dressed In White - An Under Suspicion Novel', 'Authors': ['Mary Higgins Clark', 'Alafair Burke'], 'Publisher': 'Simon and Schuster', 'Year': '2016', 'Language': 'en'}"
52,451474015,0451474015.jpg,Edge of Eternity: Book Three of the Century Trilogy,Ken Follett,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780451474025', 'Title': 'Edge Of Eternity - Book Three Of The Century Trilogy', 'Authors': ['Ken Follett'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
53,778317765,0778317765.jpg,The Good Girl,Mary Kubica,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780778319252', 'Title': 'The Good Girl', 'Authors': ['Mary Kubica'], 'Publisher': 'Mira Books', 'Year': '2017', 'Language': 'en'}"
54,1250027934,1250027934.jpg,Corrupted: A Rosato & DiNunzio Novel,Lisa Scottoline,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250027955', 'Title': 'Corrupted - A Rosato & DiNunzio Novel', 'Authors': ['Lisa Scottoline'], 'Publisher': ""St. Martin's Paperbacks"", 'Year': '2018', 'Language': 'en'}"
55,307744434,0307744434.jpg,The Night Circus,Erin Morgenstern,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780307744432', 'Title': 'The Night Circus - A Novel', 'Authors': ['Erin Morgenstern'], 'Publisher': 'Anchor', 'Year': '2012', 'Language': 'en'}"
56,307341550,0307341550.jpg,Sharp Objects,Gillian Flynn,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780307341556', 'Title': 'Sharp Objects - A Novel', 'Authors': ['Gillian Flynn'], 'Publisher': 'Broadway Books', 'Year': '2006', 'Language': 'en'}"
57,61120065,0061120065.jpg,Their Eyes Were Watching God,Zora Neale Hurston,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780060838676', 'Title': 'Their Eyes Were Watching God', 'Authors': ['Zora Neale Hurston'], 'Publisher': 'Harper Perennial Modern Classics', 'Year': '2006', 'Language': 'en'}"
58,1451627297,1451627297.jpg,11/22/63: A Novel,Stephen King,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501120602', 'Title': '11/22/63 - A Novel', 'Authors': ['Stephen King'], 'Publisher': 'Simon and Schuster', 'Year': '2016', 'Language': 'en'}"
59,345544943,0345544943.jpg,Leaving Time (with bonus novella Larger Than Life): A Novel,Jodi Picoult,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780345544940', 'Title': 'Leaving Time', 'Authors': ['Jodi Picoult'], 'Publisher': 'Ballantine Books', 'Year': '2015', 'Language': 'en'}"
60,1401324827,1401324827.jpg,Driving Heat (Nikki Heat),Richard Castle,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781484716335', 'Title': 'Driving Heat', 'Authors': ['Richard Castle'], 'Publisher': 'Kingswell', 'Year': '2016', 'Language': 'en'}"
61,544409914,0544409914.jpg,Girl Waits with Gun,Amy Stewart,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780544409910', 'Title': 'Girl Waits With Gun', 'Authors': ['Amy Stewart'], 'Publisher': 'Houghton Mifflin Harcourt', 'Year': '2015', 'Language': 'en'}"
62,1503944433,1503944433.jpg,The Good Neighbor,A. J. Banner,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250048585', 'Title': 'The Good Neighbor - A Novel', 'Authors': ['Amy Sue Nathan'], 'Publisher': 'Macmillan', 'Year': '2015', 'Language': 'en'}"
63,1101884347,1101884347.jpg,Playing with Fire: A Novel,Tess Gerritsen,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781101884362', 'Title': 'Playing With Fire - A Novel', 'Authors': ['Tess Gerritsen'], 'Publisher': '', 'Year': '2016', 'Language': 'en'}"
64,804137250,0804137250.jpg,Armada: A Novel,Ernest Cline,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780804137270', 'Title': 'Armada - A Novel', 'Authors': ['Ernest Cline'], 'Publisher': 'Ballantine Books', 'Year': '2015', 'Language': 'en'}"
65,031620689X,031620689X.jpg,The Silkworm (A Cormoran Strike Novel),Robert Galbraith,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780316351980', 'Title': 'The Silkworm', 'Authors': ['Robert Galbraith'], 'Publisher': 'Mulholland Books', 'Year': '2015', 'Language': 'en'}"
66,345543165,0345543165.jpg,The Scam: A Fox and O'Hare Novel,Janet Evanovich,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780345543172', 'Title': 'The Scam', 'Authors': ['Janet Evanovich', 'Lee Goldberg'], 'Publisher': 'Bantam', 'Year': '2016', 'Language': 'en'}"
67,039917432X,039917432X.jpg,The Solomon Curse (A Sam and Remi Fargo Adventure),Clive Cussler,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780399574252', 'Title': 'The Solomon Curse', 'Authors': ['Clive Cussler', 'Russell Blake'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
68,307743659,0307743659.jpg,The Shining,Stephen King,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780307743657', 'Title': 'The Shining', 'Authors': ['Stephen King'], 'Publisher': 'Anchor', 'Year': '2012', 'Language': 'en'}"
69,316407038,0316407038.jpg,Alert (Michael Bennett),James Patterson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455585113', 'Title': 'Alert', 'Authors': ['James Patterson', 'Michael Ledwidge'], 'Publisher': 'Vision', 'Year': '2016', 'Language': 'en'}"
70,1250020107,1250020107.jpg,Shadow Play: An Eve Duncan Novel,Iris Johansen,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250075819', 'Title': 'Shadow Play - An Eve Duncan Novel', 'Authors': ['Iris Johansen'], 'Publisher': ""St. Martin's Paperbacks"", 'Year': '2016', 'Language': 'en'}"
71,399173803,0399173803.jpg,The End Game: Brit in the FBI (A Brit in the FBI),Catherine Coulter,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780515156300', 'Title': 'The End Game', 'Authors': ['Catherine Coulter', 'J. T. Ellison'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
72,143039989,0143039989.jpg,The Haunting of Hill House (Penguin Classics),Shirley Jackson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780143039983', 'Title': 'The Haunting Of Hill House', 'Authors': ['Shirley Jackson'], 'Publisher': 'Penguin Classics', 'Year': '2006', 'Language': 'en'}"
73,399169466,0399169466.jpg,Robert B. Parker's the Devil Wins (A Jesse Stone Novel),Reed Farrel Coleman,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780425282489', 'Title': ""Robert B. Parker's The Devil Wins"", 'Authors': ['Reed Farrel Coleman'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
74,316259535,0316259535.jpg,The Killing Kind,Chris Holm,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780316259521', 'Title': 'The Killing Kind', 'Authors': ['Chris Holm'], 'Publisher': 'Mulholland Books', 'Year': '2016', 'Language': 'en'}"
75,145558116X,145558116X.jpg,Friction,Sandra Brown,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781260135695', 'Title': 'FRICTION—The Untapped Force That Can Be Your Most Powerful Advantage', 'Authors': ['Roger Dooley'], 'Publisher': 'McGraw-Hill Education', 'Year': '2019', 'Language': 'en'}"
76,316301027,0316301027.jpg,Confessions: The Murder of an Angel,James Patterson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455568598', 'Title': 'Confessions: The Murder Of An Angel', 'Authors': ['James Patterson', 'Maxine Paetro'], 'Publisher': 'jimmy patterson', 'Year': '2017', 'Language': 'en'}"
77,1101874996,1101874996.jpg,The Cartel: A novel,Don Winslow,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781601621429', 'Title': 'The Cartel', 'Authors': ['Ashley', 'JaQuavis'], 'Publisher': 'Urban Soul', 'Year': '2009', 'Language': 'en'}"
78,1783291532,1783291532.jpg,Mycroft Holmes,Kareem Abdul-Jabbar,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781783291540', 'Title': 'Mycroft Holmes', 'Authors': ['Kareem Abdul-Jabbar', 'Anna Waterhouse'], 'Publisher': 'Titan Books (US, CA)', 'Year': '2016', 'Language': 'en'}"
79,399172149,0399172149.jpg,Host,Robin Cook,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780399172144', 'Title': 'Host', 'Authors': ['Robin Cook'], 'Publisher': 'Putnam Publishing Group', 'Year': '2015', 'Language': 'en'}"
80,399170898,0399170898.jpg,Brotherhood in Death,J. D. Robb,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780425279007', 'Title': 'Brotherhood In Death', 'Authors': ['J. D. Robb'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
81,316407070,0316407070.jpg,15th Affair (Women's Murder Club),James Patterson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455585281', 'Title': '15Th Affair', 'Authors': ['James Patterson', 'Maxine Paetro'], 'Publisher': 'Grand Central Publishing', 'Year': '2017', 'Language': 'en'}"
82,62381644,0062381644.jpg,The Bone Labyrinth: A Sigma Force Novel (Sigma Force Novels),James Rollins,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780062381651', 'Title': 'The Bone Labyrinth - A Sigma Force Novel', 'Authors': ['James Rollins'], 'Publisher': 'William Morrow', 'Year': '2016', 'Language': 'en'}"
83,804178704,0804178704.jpg,Mrs. Roosevelt's Confidante: A Maggie Hope Mystery,Susan Elia MacNeal,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780804178709', 'Title': ""Mrs. Roosevelt's Confidante - A Maggie Hope Mystery"", 'Authors': ['Susan Elia MacNeal'], 'Publisher': 'Bantam', 'Year': '2015', 'Language': 'en'}"
84,62320130,0062320130.jpg,The English Spy,Daniel Silva,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780007552306', 'Title': 'Daniel Silva Thriller 5', 'Authors': ['Daniel Silva'], 'Publisher': 'HarperCollins', 'Year': '2015', 'Language': 'en'}"
85,399176055,0399176055.jpg,Extreme Prey,John Sandford,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780399573798', 'Title': 'Extreme Prey', 'Authors': ['John Sandford'], 'Publisher': 'Penguin', 'Year': '2017', 'Language': 'en'}"
86,345807294,0345807294.jpg,The Circle,Dave Eggers,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781594139611', 'Title': 'The Circle', 'Authors': ['Dave Eggers'], 'Publisher': 'Large Print Press', 'Year': '2015', 'Language': 'en'}"
87,1250058503,1250058503.jpg,Robert Kirkman's The Walking Dead: Invasion (The Walking Dead Series),Jay Bonansinga,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250058508', 'Title': ""Robert Kirkman's The Walking Dead: Invasion"", 'Authors': ['Robert Kirkman', 'Jay Bonansinga'], 'Publisher': 'Macmillan', 'Year': '2015', 'Language': 'en'}"
88,804188971,0804188971.jpg,The Grownup: A Story by the Author of Gone Girl,Gillian Flynn,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780804188975', 'Title': 'The Grownup', 'Authors': ['Gillian Flynn'], 'Publisher': 'Crown', 'Year': '2015', 'Language': 'en'}"
89,1250074355,1250074355.jpg,The Silent Sister: A Novel,Diane Chamberlain,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250074355', 'Title': 'The Silent Sister', 'Authors': ['Diane Chamberlain'], 'Publisher': ""St. Martin's Griffin"", 'Year': '2015', 'Language': 'en'}"
90,399174117,0399174117.jpg,The Pharaoh's Secret (The NUMA Files),Clive Cussler,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780735215252', 'Title': ""The Pharaoh's Secret"", 'Authors': ['Clive Cussler', 'Graham Brown'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
91,544142845,0544142845.jpg,Ghost Fleet: A Novel of the Next World War,P. W. Singer,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780544705050', 'Title': 'Ghost Fleet - A Novel Of The Next World War', 'Authors': ['P. W. Singer', 'August Cole'], 'Publisher': 'Eamon Dolan/Mariner Books', 'Year': '2016', 'Language': 'en'}"
92,451163966,0451163966.jpg,One Flew Over the Cuckoo's Nest (Signet),Ken Kesey,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780451163967', 'Title': ""One Flew Over The Cuckoo's Nest - A Novel"", 'Authors': ['Ken Kesey'], 'Publisher': '', 'Year': '1976', 'Language': 'en'}"
93,60837020,0060837020.jpg,The Bell Jar (Modern Classics),Sylvia Plath,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780060837020', 'Title': 'The Bell Jar', 'Authors': ['Sylvia Plath'], 'Publisher': 'Harper Collins', 'Year': '2005', 'Language': 'en'}"
