,amazon_index,filename,title,author,category_id,category,meta,year,meta_author,decade,post_2010
72,1592578519,1592578519.jpg,Beyond Bars: Rejoining Society After Prison,Jeffrey Ian Ross,1,Biographies & Memoirs,"{""ISBN-13"": ""9781592578511"", ""Title"": ""Beyond Bars - Rejoining Society After Prison"", ""Authors"": [""Jeffrey Ian Ross"", ""Stephen C. Richards""], ""Publisher"": ""Alpha Books"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Jeffrey Ian Ross,2000,pre_2010
73,1557041504,1557041504.jpg,"My Body, My Self for Girls: The ""What's Happening to My Body?"" Workbook",Lynda Madaras,27,Teen & Young Adult,"{""ISBN-13"": ""9781557044419"", ""Title"": ""My Body, My Self For Girls - The \""What's Happening To My Body\"" Workbook"", ""Authors"": [""Lynda Madaras"", ""Area Madaras""], ""Publisher"": ""Newmarket Shooting Scripts"", ""Year"": ""2000"", ""Language"": ""en""}",2000,Lynda Madaras,2000,pre_2010
74,1634508297,1634508297.jpg,"Welcome to the Show: A Mickey Tussler Novel, Book 3 (The Mickey Tussler Series)",Frank Nappi,27,Teen & Young Adult,"{""ISBN-13"": ""9781634508292"", ""Title"": ""Welcome To The Show - A Mickey Tussler Novel"", ""Authors"": [""Frank Nappi""], ""Publisher"": ""Sky Pony"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Frank Nappi,2010,post_2010
75,1416586628,1416586628.jpg,Full Black: A Thriller (The Scot Harvath Series),Brad Thor,15,Literature & Fiction,"{""ISBN-13"": ""9781982148386"", ""Title"": ""Full Black - A Thriller"", ""Authors"": [""Brad Thor""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2021"", ""Language"": ""en""}",2021,Brad Thor,2020,post_2010
76,1595548882,1595548882.jpg,His Love Endures Forever (A Land of Canaan Novel),Beth Wiseman,15,Literature & Fiction,"{""ISBN-13"": ""9780718082796"", ""Title"": ""His Love Endures Forever"", ""Authors"": [""Beth Wiseman""], ""Publisher"": ""Thomas Nelson"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Beth Wiseman,2010,post_2010
77,1466416483,1466416483.jpg,Level Zero (The NextWorld Series) (Volume 1),Jaron Lee Knuth,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781466416482"", ""Title"": ""Level Zero"", ""Authors"": [""Jaron Lee Knuth""], ""Publisher"": ""Jaron Lee Knuth"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Jaron Lee Knuth,2010,post_2010
78,1250082986,1250082986.jpg,The Fight: A Secret Service Agent's Inside Account of Security Failings and the Political Machine,Dan Bongino,1,Biographies & Memoirs,"{""ISBN-13"": ""9781250116901"", ""Title"": ""The Fight - A Secret Service Agent's Inside Account Of Security Failings And The Political Machine"", ""Authors"": [""Dan Bongino""], ""Publisher"": ""St. Martin's Griffin"", ""Year"": ""2017"", ""Language"": ""en""}",2017,Dan Bongino,2010,post_2010
79,1601527128,1601527128.jpg,Stonehenge (History's Great Structures (Reference Point)),Stephen Currie,27,Teen & Young Adult,"{""ISBN-13"": ""9781601527127"", ""Title"": ""Stonehenge"", ""Authors"": [""Stephen Currie""], ""Publisher"": ""Referencepoint Press"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Stephen Currie,2010,post_2010
80,1613210973,1613210973.jpg,Terry Funk: More Than Just Hardcore,Terry Funk,1,Biographies & Memoirs,"{""ISBN-13"": ""9781613210970"", ""Title"": ""Terry Funk - More Than Just Hardcore"", ""Authors"": [""Terry Funk"", ""Scott E. Williams""], ""Publisher"": ""Skyhorse Publishing Inc."", ""Year"": ""2012"", ""Language"": ""en""}",2012,Terry Funk,2010,post_2010
81,1604537019,1604537019.jpg,Frida Kahlo: Mexican Artist (Essential Lives Set 4),Emma Carlson Berne,27,Teen & Young Adult,"{""ISBN-13"": ""9781604537017"", ""Title"": ""Frida Kahlo - Mexican Artist"", ""Authors"": [""Emma Carlson Berne""], ""Publisher"": ""ABDO"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Emma Carlson Berne,2000,pre_2010
82,1402267185,1402267185.jpg,Rev It Up: Black Knights Inc.,Julie Ann Walker,22,Romance,"{""ISBN-13"": ""9781402267185"", ""Title"": ""Rev It Up - Black Knights Inc"", ""Authors"": [""Julie Ann Walker""], ""Publisher"": ""Sourcebooks, Inc."", ""Year"": ""2012"", ""Language"": ""en""}",2012,Julie Ann Walker,2010,post_2010
83,803740824,0803740824.jpg,I am Amelia Earhart (Ordinary People Change the World),Brad Meltzer,4,Children's Books,"{""ISBN-13"": ""9780803740822"", ""Title"": ""I Am Amelia Earhart"", ""Authors"": [""Brad Meltzer""], ""Publisher"": ""Dial Books for Young Readers"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Brad Meltzer,2010,post_2010
84,057815871X,057815871X.jpg,Concrete Situations (Situations Series) (Volume 1),Crystal Darks,15,Literature & Fiction,"{""ISBN-13"": ""9780578158716"", ""Title"": ""Concrete Situations"", ""Authors"": [""Crystal Darks""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Crystal Darks,2010,post_2010
85,1627410120,1627410120.jpg,"Tamed by Texans [Doms of Destiny, Colorado 5] (Siren Publishing Menage Everlasting)",Chloe Lang,22,Romance,"{""ISBN-13"": ""9781627410120"", ""Title"": ""Tamed By Texans [Doms Of Destiny, Colorado 5] (Siren Publishing Menage Everlasting)"", ""Authors"": [""Chloe Lang""], ""Publisher"": ""Siren Pub Incorporated"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Chloe Lang,2010,post_2010
87,037570129X,037570129X.jpg,Autobiography of Red,Anne Carson,15,Literature & Fiction,"{""ISBN-13"": ""9780375701290"", ""Title"": ""Autobiography Of Red - A Novel In Verse"", ""Authors"": [""Anne Carson""], ""Publisher"": ""Vintage"", ""Year"": ""1999"", ""Language"": ""en""}",1999,Anne Carson,1990,pre_2010
89,307381218,0307381218.jpg,The Eaves of Heaven: A Life in Three Wars,Andrew X. Pham,1,Biographies & Memoirs,"{""ISBN-13"": ""9780307381217"", ""Title"": ""The Eaves Of Heaven - A Life In Three Wars"", ""Authors"": [""Andrew X. Pham""], ""Publisher"": ""Broadway Books"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Andrew X. Pham,2000,pre_2010
91,1849054622,1849054622.jpg,Banish Your Self-Esteem Thief: A Cognitive Behavioural Therapy Workbook on Building Positive Self-esteem for Young People (Gremlin and Thief CBT Workbooks),Kate Collins-Donnelly,27,Teen & Young Adult,"{""ISBN-13"": ""9781849054621"", ""Title"": ""Banish Your Self-Esteem Thief - A Cognitive Behavioural Therapy Workbook On Building Positive Self-Esteem For Young People"", ""Authors"": [""Kate Collins-Donnelly""], ""Publisher"": ""Jessica Kingsley Pub"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Kate Collins-Donnelly,2010,post_2010
